left	left_label	right	right_label	left_match_type	right_match_type	left_match_val	right_match_val	score	left_simscore	right_simscore	reciprocal_score	conditional_pr_equiv	equiv_clique_size
http://purl.obolibrary.org/obo/ECTO_0001551	exposure to 2,2',3,4,4',5',6-Heptabromodiphenyl ether	http://purl.obolibrary.org/obo/MRE_0000170	Exposure to 2,2',3,4,4',5',6-heptabromodiphenyl ether	label	label	exposure to 2,2',3,4,4',5',6-Heptabromodiphenyl ether	Exposure to 2,2',3,4,4',5',6-heptabromodiphenyl ether	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001552	exposure to paraben	http://purl.obolibrary.org/obo/MRE_0000174	Exposure to paraben	label	label	exposure to paraben	Exposure to paraben	100.0	1.0	0.8333333333333334	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001553	exposure to perchlorate	http://purl.obolibrary.org/obo/MRE_0000181	Exposure to perchlorate	label	label	exposure to perchlorate	Exposure to perchlorate	100.0	0.6666666666666666	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001555	exposure to daidzein	http://purl.obolibrary.org/obo/MRE_0000197	Exposure to daidzein	label	label	exposure to daidzein	Exposure to daidzein	100.0	1.0	0.75	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001556	exposure to Enterodiol	http://purl.obolibrary.org/obo/MRE_0000198	Exposure to enterodiol	label	label	exposure to Enterodiol	Exposure to enterodiol	100.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001557	exposure to Enterolactone	http://purl.obolibrary.org/obo/MRE_0000199	Exposure to enterolactone	label	label	exposure to Enterolactone	Exposure to enterolactone	100.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001558	exposure to equol	http://purl.obolibrary.org/obo/MRE_0000200	Exposure to equol	label	label	exposure to equol	Exposure to equol	100.0	1.0	0.5	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001559	exposure to O-Desmethylangolensin	http://purl.obolibrary.org/obo/MRE_0000202	Exposure to O-desmethylangolensin	label	label	exposure to O-Desmethylangolensin	Exposure to O-desmethylangolensin	100.0	0.5	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001560	exposure to Arsenobetaine	http://purl.obolibrary.org/obo/MRE_0000205	Exposure to arsenobetaine	label	label	exposure to Arsenobetaine	Exposure to arsenobetaine	100.0	0.25	1.0	4	1.0	2
http://purl.obolibrary.org/obo/ECTO_0001561	exposure to dimethylarsinic acid	http://purl.obolibrary.org/obo/MRE_0000206	Exposure to dimethylarsinic acid	label	label	exposure to dimethylarsinic acid	Exposure to dimethylarsinic acid	83.33333333333333	0.6666666666666666	0.5	4	1.0	2
