ECTO:0000006 ! exposure to ultraviolet radiation	ZECO:0000214 ! UV	false	label	label	ultraviolet
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	exact	label	ultravioletradiatexposur
ECTO:0000006 ! exposure to ultraviolet radiation	NCIT:C44462 ! UV Radiation Exposure	true	exact	related	ultravioletradiatexposur
ECTO:0000006 ! exposure to ultraviolet radiation	XCO:0000042 ! ultraviolet ray exposure	true	exact	exact	ultravioletradiatexposur
ECTO:0000007 ! exposure to visible light radiation	ECTO:0000122 ! exposure to photon	false	exact	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007151 ! radiation treatment	false	exact	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007151 ! radiation treatment	true	exact	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007196 ! light regimen	false	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007196 ! light regimen	true	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007221 ! visible light regimen	false	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	GO:0009416 ! response to light stimulus	false	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	XCO:0000283 ! visible light stimulus	false	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	XCO:0000284 ! controlled visible light exposure	false	exact	broad	light
ECTO:0000007 ! exposure to visible light radiation	ZECO:0000213 ! visible light	false	exact	label	light
ECTO:0000007 ! exposure to visible light radiation	ECTO:0000122 ! exposure to photon	false	label	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007151 ! radiation treatment	false	label	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007151 ! radiation treatment	true	label	related	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007196 ! light regimen	false	label	label	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007196 ! light regimen	true	label	label	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007221 ! visible light regimen	false	label	label	light
ECTO:0000007 ! exposure to visible light radiation	GO:0009416 ! response to light stimulus	false	label	label	light
ECTO:0000007 ! exposure to visible light radiation	XCO:0000283 ! visible light stimulus	false	label	label	light
ECTO:0000007 ! exposure to visible light radiation	XCO:0000284 ! controlled visible light exposure	false	label	broad	light
ECTO:0000007 ! exposure to visible light radiation	ZECO:0000213 ! visible light	false	label	label	light
ECTO:0000007 ! exposure to visible light radiation	EO:0007221 ! visible light regimen	false	exact	label	lightlight
ECTO:0000007 ! exposure to visible light radiation	XCO:0000283 ! visible light stimulus	false	exact	label	lightlight
ECTO:0000007 ! exposure to visible light radiation	XCO:0000284 ! controlled visible light exposure	false	exact	broad	lightlight
